MeasurementTime,VehicleType,VehicleFlowRate,AverageVehicleSpeed,CountyNo,Geometry,RegionId
2025-08-03T10:47:00.000+02:00,anyVehicle,900,76.73,1,"{'SWEREF99TM': 'POINT (672338.05 6577283.96)', 'WGS84': 'POINT (18.026638 59.2992)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,420,63.72,1,"{'SWEREF99TM': 'POINT (674811.01 6577089.21)', 'WGS84': 'POINT (18.06984 59.296436)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,900,87.77,1,"{'SWEREF99TM': 'POINT (678766 6578879.22)', 'WGS84': 'POINT (18.140654 59.310833)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,780,56.46,1,"{'SWEREF99TM': 'POINT (675662.04 6576780.99)', 'WGS84': 'POINT (18.084509 59.29332)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,300,66.02,1,"{'SWEREF99TM': 'POINT (674788.96 6583305.87)', 'WGS84': 'POINT (18.074488 59.352192)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,540,82.36,1,"{'SWEREF99TM': 'POINT (670987 6586338.18)', 'WGS84': 'POINT (18.01013 59.380943)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,60,60.0,1,"{'SWEREF99TM': 'POINT (677767.01 6578656.09)', 'WGS84': 'POINT (18.12295 59.309254)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,780,63.89,1,"{'SWEREF99TM': 'POINT (674146.97 6576808.94)', 'WGS84': 'POINT (18.057972 59.294197)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,180,98.64,1,"{'SWEREF99TM': 'POINT (661131.04 6570012.98)', 'WGS84': 'POINT (17.824697 59.238403)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1380,63.83,1,"{'SWEREF99TM': 'POINT (677698.98 6578603.97)', 'WGS84': 'POINT (18.121714 59.308815)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,300,60.6,1,"{'SWEREF99TM': 'POINT (673859.95 6577070.15)', 'WGS84': 'POINT (18.05315 59.296658)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1380,76.62,1,"{'SWEREF99TM': 'POINT (661432.02 6570101.88)', 'WGS84': 'POINT (17.830032 59.239086)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,240,68.04,1,"{'SWEREF99TM': 'POINT (673951.03 6577064.97)', 'WGS84': 'POINT (18.054743 59.296574)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1260,108.48,1,"{'SWEREF99TM': 'POINT (664993.99 6594772.16)', 'WGS84': 'POINT (17.911278 59.458973)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1140,55.02,1,"{'SWEREF99TM': 'POINT (675946.05 6576062.89)', 'WGS84': 'POINT (18.088903 59.286762)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,240,84.33,1,"{'SWEREF99TM': 'POINT (673323 6585447.06)', 'WGS84': 'POINT (18.050468 59.371998)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,240,72.0,1,"{'SWEREF99TM': 'POINT (673822.03 6576292.92)', 'WGS84': 'POINT (18.05186 59.289703)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1020,75.01,1,"{'SWEREF99TM': 'POINT (666917.02 6587106.86)', 'WGS84': 'POINT (17.939188 59.38947)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,420,71.95,1,"{'SWEREF99TM': 'POINT (666905.05 6586732.02)', 'WGS84': 'POINT (17.938686 59.386112)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,420,62.43,1,"{'SWEREF99TM': 'POINT (675767.96 6576603.83)', 'WGS84': 'POINT (18.086222 59.291687)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1260,79.1,1,"{'SWEREF99TM': 'POINT (671697.03 6584696.91)', 'WGS84': 'POINT (18.0213 59.365936)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1020,72.78,1,"{'SWEREF99TM': 'POINT (674421.99 6577064.91)', 'WGS84': 'POINT (18.063 59.29638)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1440,52.64,1,"{'SWEREF99TM': 'POINT (676114.97 6575439)', 'WGS84': 'POINT (18.091356 59.281097)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,840,68.35,1,"{'SWEREF99TM': 'POINT (666819.04 6586515.12)', 'WGS84': 'POINT (17.937006 59.3842)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,180,108.0,1,"{'SWEREF99TM': 'POINT (659332.99 6568819.94)', 'WGS84': 'POINT (17.792345 59.228382)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,240,107.19,1,"{'SWEREF99TM': 'POINT (655132.02 6566579.01)', 'WGS84': 'POINT (17.71722 59.20984)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,420,69.99,1,"{'SWEREF99TM': 'POINT (674351 6577104.19)', 'WGS84': 'POINT (18.061787 59.29676)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,660,81.79,1,"{'SWEREF99TM': 'POINT (668987 6588407.8)', 'WGS84': 'POINT (17.976604 59.40031)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,480,95.13,1,"{'SWEREF99TM': 'POINT (671933 6584363.93)', 'WGS84': 'POINT (18.025179 59.362854)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,180,112.68,1,"{'SWEREF99TM': 'POINT (659180.03 6568691.05)', 'WGS84': 'POINT (17.789574 59.227283)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,660,70.07,1,"{'SWEREF99TM': 'POINT (671357.02 6585750.05)', 'WGS84': 'POINT (18.016165 59.37552)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,360,61.33,1,"{'SWEREF99TM': 'POINT (677223.01 6577900.16)', 'WGS84': 'POINT (18.11279 59.302704)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1020,84.79,1,"{'SWEREF99TM': 'POINT (654066.04 6566160.2)', 'WGS84': 'POINT (17.698277 59.20647)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,420,82.86,1,"{'SWEREF99TM': 'POINT (677365.03 6578073.14)', 'WGS84': 'POINT (18.115421 59.304195)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,540,73.28,1,"{'SWEREF99TM': 'POINT (675178.01 6577072.12)', 'WGS84': 'POINT (18.07626 59.29613)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,360,79.2,1,"{'SWEREF99TM': 'POINT (669082.03 6588189.16)', 'WGS84': 'POINT (17.978104 59.39831)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1320,61.86,1,"{'SWEREF99TM': 'POINT (673321 6576982.09)', 'WGS84': 'POINT (18.04363 59.29609)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,60,63.0,1,"{'SWEREF99TM': 'POINT (671156.01 6582220.92)', 'WGS84': 'POINT (18.009827 59.343952)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,300,94.82,1,"{'SWEREF99TM': 'POINT (670503.03 6587010.95)', 'WGS84': 'POINT (18.002157 59.387173)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,900,79.58,1,"{'SWEREF99TM': 'POINT (669378.04 6587959.11)', 'WGS84': 'POINT (17.983128 59.39613)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1440,64.25,1,"{'SWEREF99TM': 'POINT (675800.03 6576444.94)', 'WGS84': 'POINT (18.086655 59.29025)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,720,80.88,1,"{'SWEREF99TM': 'POINT (666830.05 6587165.12)', 'WGS84': 'POINT (17.937704 59.390026)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,540,73.12,1,"{'SWEREF99TM': 'POINT (676999.99 6577788.92)', 'WGS84': 'POINT (18.108788 59.3018)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,360,79.08,1,"{'SWEREF99TM': 'POINT (671147.97 6582269.05)', 'WGS84': 'POINT (18.009724 59.344387)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1500,90.78,1,"{'SWEREF99TM': 'POINT (651141.01 6564003.06)', 'WGS84': 'POINT (17.645615 59.18817)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1620,68.4,1,"{'SWEREF99TM': 'POINT (664661.03 6588089.91)', 'WGS84': 'POINT (17.900276 59.399174)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1320,51.73,1,"{'SWEREF99TM': 'POINT (673974.97 6577015.02)', 'WGS84': 'POINT (18.055122 59.296116)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1620,55.78,1,"{'SWEREF99TM': 'POINT (674292.02 6577061.91)', 'WGS84': 'POINT (18.060719 59.296406)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,360,59.34,1,"{'SWEREF99TM': 'POINT (674955.98 6577095.05)', 'WGS84': 'POINT (18.072386 59.29643)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1020,55.06,1,"{'SWEREF99TM': 'POINT (676556.01 6577500.2)', 'WGS84': 'POINT (18.100767 59.299397)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,540,103.12,1,"{'SWEREF99TM': 'POINT (660201 6569442.04)', 'WGS84': 'POINT (17.807995 59.233635)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,180,80.4,1,"{'SWEREF99TM': 'POINT (668697.03 6588555.2)', 'WGS84': 'POINT (17.97162 59.40175)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1260,60.24,1,"{'SWEREF99TM': 'POINT (677652.01 6578575.82)', 'WGS84': 'POINT (18.120867 59.308582)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1080,74.0,1,"{'SWEREF99TM': 'POINT (670989.96 6586340.02)', 'WGS84': 'POINT (18.010183 59.38096)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,300,64.4,1,"{'SWEREF99TM': 'POINT (673621.96 6577035.84)', 'WGS84': 'POINT (18.04895 59.296448)'}",4
2025-08-03T10:46:00.000+02:00,anyVehicle,60,79.92,1,"{'SWEREF99TM': 'POINT (671149.94 6582146.2)', 'WGS84': 'POINT (18.00966 59.343285)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,360,104.88,1,"{'SWEREF99TM': 'POINT (657637.95 6566977.15)', 'WGS84': 'POINT (17.761343 59.212486)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1380,72.2,1,"{'SWEREF99TM': 'POINT (670419 6587142.01)', 'WGS84': 'POINT (18.000784 59.388382)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,300,45.79,1,"{'SWEREF99TM': 'POINT (675209.02 6577406.22)', 'WGS84': 'POINT (18.077074 59.299114)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,540,92.44,1,"{'SWEREF99TM': 'POINT (680004 6579036.96)', 'WGS84': 'POINT (18.162497 59.31172)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,360,82.32,1,"{'SWEREF99TM': 'POINT (679567.97 6579094.98)', 'WGS84': 'POINT (18.154898 59.312428)'}",4
2025-08-03T10:47:00.000+02:00,anyVehicle,1020,80.07,1,"{'SWEREF99TM': 'POINT (659847.95 6569123.1)', 'WGS84': 'POINT (17.80158 59.230907)'}",4
